ID,Rt,Name,Train,Origin,Dest,Class,RtCl-1,RtCl-2,BL,Date,Rep Month,Rep FYR,PNR,Version,Riders,Weight,Miles,DepP,ArrP,S1,1010,1020,1025,1030,1040,1042,1044,1046,1050,1060,1070,1080,1090,1100,1110,2010,2020,2030,2040,2050,2060,2065,2070,2080,2090,2100,2110,2120,2124,2126,2130,2132,2133,2135,2140,2150,2160,2170,2180,2141,2142,2152,2162,2172,2182,2185,2190,2200,2210,2220,2410,2420,2430,2440,2450,2460,3010,3020,3030,3040,4010,4020,4030,4040,4050,4060
91703,3,Ethan Allen,291,NYP,SAR,C,03C,03A,SC,10/23/2014,201410,2015,C67C62,SDWF,1,66,178,0,15,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,2,NULL,NULL,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100.00
91704,3,Ethan Allen,291,NYP,SDY,C,03C,03A,SC,10/13/2014,201410,2015,BCD524,SDWF,1,66,159,0,8,2,100,100,2,NULL,NULL,NULL,NULL,NULL,90,90,90,90,70,70,70,100,NULL,100,100,100,100,1,80,80,80,NULL,90,100,100,NULL,100,NULL,NULL,1,90,100,100,90,90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,70,NULL,NULL,80,NULL,NULL,90,90,90,90.00
91705,3,Ethan Allen,291,POU,RUD,C,03C,03A,SC,10/18/2014,201410,2015,C46DEA,SDWF,1,66,169,14,9,1,100,100,2,NULL,NULL,NULL,NULL,NULL,NULL,50,100,100,100,100,100,70,NULL,80,100,100,90,2,NULL,NULL,70,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,100,30,30,40,100,100,100,100,NULL,NULL,100,100,100,100.00
91706,3,Ethan Allen,293,POU,SAR,C,03C,03A,SC,10/17/2014,201410,2015,AC8C13,SDWF,1,66,106,0,13,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,2,NULL,NULL,100,NULL,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,50,100,30,70,0,100,100,100,100,NULL,NULL,100,100,100,100.00
91707,3,Ethan Allen,290,RUD,ALB,C,03C,03A,SC,10/3/2014,201410,2015,B69726,SDWF,1,66,100,0,5,1,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,0,NULL,NULL,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,0,0,50,NULL,NULL,100,100,50,75.00
91708,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,10/6/2014,201410,2015,B8E47C,SDWF,1,66,241,0,7,2,100,100,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,NULL,100,100,100,80,1,60,80,90,NULL,70,90,90,NULL,100,NULL,NULL,1,90,90,90,80,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,70,50,50,60,NULL,NULL,100,100,100,100.00
91709,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,10/10/2014,201410,2015,A14C77,SDWF,1,66,241,0,19,3,100,80,2,NULL,NULL,NULL,NULL,NULL,90,90,100,100,90,90,90,90,NULL,100,60,100,100,2,NULL,NULL,90,90,90,100,90,NULL,90,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,90,90,100,100,90,90,90,90,90,NULL,NULL,90,90,100,95.00
91710,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,10/13/2014,201410,2015,B97630,SDWF,1,66,241,0,40,1,100,100,1,100,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,80,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,NULL,NULL,100,100,100,100.00
91711,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,10/15/2014,201410,2015,C3B9B3,SDWF,1,66,241,0,4,2,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,100,NULL,100,100,100,100,1,100,100,100,100,100,100,100,NULL,100,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,70,100,40,40,40,90,NULL,NULL,90,NULL,NULL,100,100,100,100.00
91712,3,Ethan Allen,290,RUD,NYP,C,03C,03A,SC,10/16/2014,201410,2015,542A17,SDWF,1,66,241,0,12,4,100,100,2,NULL,NULL,NULL,NULL,NULL,100,100,100,100,100,100,100,90,NULL,90,60,80,100,1,80,10,100,100,100,100,100,NULL,100,NULL,NULL,1,100,100,100,100,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,100,100,100,100,100,100,100,100,100,NULL,NULL,100,100,100,100.00
